row_id,domain_order,source_domain,captured_domain,pathway_chain,pathway_valence,operationalization_status
1,1,"1. Socioeconomic Position, Poverty, and Economic Inequality",Food insecurity and material deprivation,Poverty -> inability to afford food -> stress and worry -> mental health decline -> Poor mental health,Poor mental health,Directly represented by food insecurity
2,1,"1. Socioeconomic Position, Poverty, and Economic Inequality",Food insecurity and material deprivation,Reliance on subsistence farming -> loss of income due to theft or natural hazards -> household chaos -> anger and domestic violence -> negative mental health outcomes -> Poor mental health,Poor mental health,Directly represented by food insecurity
3,1,"1. Socioeconomic Position, Poverty, and Economic Inequality",Food insecurity and material deprivation,Poverty -> inability to fix or improve living conditions independently -> anxiety and frustration -> Poor mental health,Poor mental health,Directly represented by food insecurity
4,1,"1. Socioeconomic Position, Poverty, and Economic Inequality",Cross-domain pathway,Hope for the future -> encouragement to persist -> reduced hopelessness -> positive outlook -> improved mental health -> Positive mental health,Positive mental health,Not directly harmonized in the present manuscript
5,2,"2. Education, Employment, and Working Conditions",Violence exposure and unsafe environments,Lack of school fencing and monitoring -> truancy and time in unsafe spaces -> substance use and sexual activity -> emotional strain and disrupted education -> Poor mental health,Poor mental health,Directly represented by violence exposure
6,2,"2. Education, Employment, and Working Conditions",School climate and educational pathway conditions,Physical punishment at school -> humiliation -> suppressed emotions -> anger and resentment toward authority -> Poor mental health,Poor mental health,Partially represented by school disengagement
7,2,"2. Education, Employment, and Working Conditions",Food insecurity and material deprivation,Employment through mining -> financial security -> improved mental health -> Positive mental health,Positive mental health,Directly represented by food insecurity
8,2,"2. Education, Employment, and Working Conditions",Food insecurity and material deprivation,Mine closure -> loss of income -> reliance on grants -> communal stress and anxiety -> Poor mental health,Poor mental health,Directly represented by food insecurity
9,2,"2. Education, Employment, and Working Conditions",Food insecurity and material deprivation,Financial stress -> emotional strain -> substance use -> family conflict -> emotional distress -> Poor mental health,Poor mental health,Directly represented by food insecurity
10,2,"2. Education, Employment, and Working Conditions",Cross-domain pathway,Protracted unemployment -> eroded self-esteem -> stress -> Poor mental health,Poor mental health,Not directly harmonized in the present manuscript
11,2,"2. Education, Employment, and Working Conditions",Social protection and government grant conditions,Reliance on government grant -> eroded self-esteem -> Poor mental health,Poor mental health,Partially represented by lack of government grant receipt
12,3,3. Housing and Living Conditions,Housing quality and water insecurity,Lack of running water -> inability to maintain hygiene -> bullying and shame -> emotional distress -> Poor mental health,Poor mental health,Not directly harmonized in the present manuscript
13,3,3. Housing and Living Conditions,Housing quality and water insecurity,Poor condition of houses -> discomfort at home -> mental strain -> Poor mental health,Poor mental health,Not directly harmonized in the present manuscript
14,4,4. Early Childhood Development,School climate and educational pathway conditions,Access to early learning centers -> better performance in higher grades -> increased self-esteem and reduced stress -> Positive mental health,Positive mental health,Partially represented by school disengagement
15,4,4. Early Childhood Development,School climate and educational pathway conditions,Access to early learning centers -> safety -> less exposure to trauma -> Positive mental health,Positive mental health,Partially represented by school disengagement
16,5,"5. Social Support, Social Capital, Discrimination, and Social Exclusion",Family separation and migration-related stress,Migration for work -> family separation -> loneliness and insecurity -> increased stress and anxiety -> Poor mental health,Poor mental health,Not directly harmonized in the present manuscript
17,5,"5. Social Support, Social Capital, Discrimination, and Social Exclusion","Religion, spirituality, and cultural support or strain",Church counselling and spiritual guidance -> sense of hope and peace -> Positive mental health,Positive mental health,Not directly harmonized in the present manuscript
18,5,"5. Social Support, Social Capital, Discrimination, and Social Exclusion",Alcohol use and substance-related risk,Access to sports grounds -> social engagement through sport -> reduced substance abuse -> improved mental health -> Positive mental health,Positive mental health,Directly represented by alcohol use
19,5,"5. Social Support, Social Capital, Discrimination, and Social Exclusion",Sexual debut and broader adolescent risk ecology,Association with bad peers -> parental disapproval -> conflict -> emotional strain -> Poor mental health,Poor mental health,Partially represented by ever having had sexual intercourse
20,5,"5. Social Support, Social Capital, Discrimination, and Social Exclusion",Social connectedness and community inclusion or exclusion,Feeling excluded from family decision-making -> feelings of marginalisation and powerlessness -> Poor mental health,Poor mental health,Partially represented by low social support
21,5,"5. Social Support, Social Capital, Discrimination, and Social Exclusion",Social connectedness and community inclusion or exclusion,"Strong family and community social capital -> access to shared resources such as land, gardens, and employment opportunities -> material security and social support -> improved well-being -> Positive mental health",Positive mental health,Partially represented by low social support
22,5,"5. Social Support, Social Capital, Discrimination, and Social Exclusion",Social connectedness and community inclusion or exclusion,Low social connectedness and weak community cohesion -> exclusion from shared resources and fear of stigma -> reduced help-seeking and exposure to harm such as abuse or conflict -> stress and emotional distress -> Poor mental health,Poor mental health,Partially represented by low social support
23,6,6. Physical Environment,Housing quality and water insecurity,Air and water pollution -> ill health -> fear and worry -> Poor mental health,Poor mental health,Not directly harmonized in the present manuscript
24,6,6. Physical Environment,Environmental degradation and climate stress,Mines -> land damage -> grief and stress -> mental health deterioration -> Poor mental health,Poor mental health,Not directly harmonized in the present manuscript
25,6,6. Physical Environment,Environmental degradation and climate stress,Litter from dumping sites -> perceived danger -> avoidance of nature -> reduced relaxation and well-being -> Poor mental health,Poor mental health,Not directly harmonized in the present manuscript
26,6,6. Physical Environment,Food insecurity and material deprivation,Subsistence agriculture -> lower financial pressure -> Positive mental health,Positive mental health,Directly represented by food insecurity
27,6,6. Physical Environment,Food insecurity and material deprivation,Extreme weather events -> soil erosion and crop destruction -> loss of food and income -> mental distress -> Poor mental health,Poor mental health,Directly represented by food insecurity
28,6,6. Physical Environment,Food insecurity and material deprivation,Water scarcity -> dual use of water such as drinking water for cattle versus watering crops -> internal conflict -> emotional distress -> Poor mental health,Poor mental health,Directly represented by food insecurity
