"model_code","response","response_label","hypothesis_id","hypothesis","role","window","reference_label","comparator_label","expected_direction","contrast_label","hypothesis_supported","effect_group","effect_type","term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","or_conf.low","or_conf.high","class","class_window","class_label","benchmark_class","benchmark_label","term_label","n_subjects","n_pseudo_rows","total_weight"
"ULWOM","DNKA","Alcohol use","H1","Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.","primary","Early childhood","Stable Low Maternal Absence","Late-Onset Maternal Absence","higher","H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence",FALSE,"Two-window class history","early_class","early_class1",0.130893724586926,0.13201121509928,0.991534882005943,0.321424468315859,-0.127848257007663,0.389635706181515,1.13984663720257,0.879986900859449,1.47644283690256,1,"Early Childhood (0–5 Years)","Late-Onset Maternal Absence",2,"Stable Low Maternal Absence","Early: Late-Onset Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","DNKA","Alcohol use","H1","Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.","primary","Early childhood","Stable Low Maternal Absence","Stable High Maternal Absence","higher","H1: Stable High Maternal Absence vs Stable Low Maternal Absence",FALSE,"Two-window class history","early_class","early_class3",0.219581909247754,0.129616659869175,1.69408708316804,0.0902487364476626,-0.0344667440958278,0.473630562591337,1.24555586632159,0.966120468361969,1.60581362980384,3,"Early Childhood (0–5 Years)","Stable High Maternal Absence",2,"Stable Low Maternal Absence","Early: Stable High Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","DNKA","Alcohol use","H1","Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.","primary","Early childhood","Stable Low Maternal Absence","Early Peak, Declining Maternal Absence","higher","H1: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",FALSE,"Two-window class history","early_class","early_class4",0.0559083638530971,0.111833310080918,0.499925861200425,0.617127281820909,-0.163284923905502,0.275101651611696,1.05750077400019,0.849349154057431,1.31666450913469,4,"Early Childhood (0–5 Years)","Early Peak, Declining Maternal Absence",2,"Stable Low Maternal Absence","Early: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","DNKA","Alcohol use","H1","Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.","primary","Middle-late childhood","Stable Low Maternal Absence","Late-Onset Maternal Absence","higher","H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence",TRUE,"Two-window class history","mid_class","mid_class1",0.327896928895744,0.147742517299899,2.21938095335247,0.0264608183313394,0.0383215949879414,0.617472262803547,1.38804589749269,1.03906533735709,1.85423509405756,1,"Middle–Late Childhood (6–12 Years)","Late-Onset Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Late-Onset Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","DNKA","Alcohol use","H1","Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.","primary","Middle-late childhood","Stable Low Maternal Absence","Mid-Childhood Onset Maternal Absence","higher","H1: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence",FALSE,"Two-window class history","mid_class","mid_class2",0.122720861092505,0.156982710957584,0.781747622677151,0.434362908200346,-0.184965252384358,0.430406974569369,1.13056879116005,0.831133163246081,1.53788327559088,2,"Middle–Late Childhood (6–12 Years)","Mid-Childhood Onset Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","DNKA","Alcohol use","H1","Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.","primary","Middle-late childhood","Stable Low Maternal Absence","Declining Maternal Absence","higher","H1: Declining Maternal Absence vs Stable Low Maternal Absence",FALSE,"Two-window class history","mid_class","mid_class3",0.166380278440619,0.126627695872103,1.31393276403502,0.188868831664529,-0.0818100054687037,0.414570562349942,1.18102213359459,0.921447011959392,1.51372055249749,3,"Middle–Late Childhood (6–12 Years)","Declining Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Declining Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","DNKA","Alcohol use","H1","Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.","primary","Middle-late childhood","Stable Low Maternal Absence","Stable High Maternal Absence","higher","H1: Stable High Maternal Absence vs Stable Low Maternal Absence",FALSE,"Two-window class history","mid_class","mid_class4",0.0455305951203121,0.11357291924227,0.400893059930843,0.688498859727144,-0.177072326594537,0.268133516835161,1.04658302445767,0.837719192955425,1.30752170452092,4,"Middle–Late Childhood (6–12 Years)","Stable High Maternal Absence",5,"Stable Low Maternal Absence","Middle-late: Stable High Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
"ULWOM","ESXC","Ever had sexual intercourse","H1","Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.","primary","Early childhood","Stable Low Maternal Absence","Late-Onset Maternal Absence","higher","H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence",FALSE,"Two-window class history","early_class","early_class1",0.0175344502831586,0.169950102035726,0.10317410859496,0.917824788576845,-0.315567749706865,0.350636650273182,1.01768908122388,0.729374654447335,1.41997128598754,1,"Early Childhood (0–5 Years)","Late-Onset Maternal Absence",2,"Stable Low Maternal Absence","Early: Late-Onset Maternal Absence vs Stable Low Maternal Absence",3211,15387,3210.69900100001
"ULWOM","ESXC","Ever had sexual intercourse","H1","Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.","primary","Early childhood","Stable Low Maternal Absence","Stable High Maternal Absence","higher","H1: Stable High Maternal Absence vs Stable Low Maternal Absence",FALSE,"Two-window class history","early_class","early_class3",0.164419887835033,0.159403346468538,1.0314707405938,0.302320122375652,-0.148010671243302,0.476850446913369,1.17870913682824,0.862421911778891,1.61099249713703,3,"Early Childhood (0–5 Years)","Stable High Maternal Absence",2,"Stable Low Maternal Absence","Early: Stable High Maternal Absence vs Stable Low Maternal Absence",3211,15387,3210.69900100001
"ULWOM","ESXC","Ever had sexual intercourse","H1","Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.","primary","Early childhood","Stable Low Maternal Absence","Early Peak, Declining Maternal Absence","higher","H1: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",FALSE,"Two-window class history","early_class","early_class4",-0.0959153424124932,0.137319008439379,-0.698485544736773,0.484873594811636,-0.365060598953676,0.17322991412869,0.908540927696174,0.69415458456189,1.18913947362315,4,"Early Childhood (0–5 Years)","Early Peak, Declining Maternal Absence",2,"Stable Low Maternal Absence","Early: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",3211,15387,3210.69900100001
